Argumet ID	URL
B28001	https://africanarguments.org/2021/10/taking-industrial-policy-seriously-in-sudan/
B28002	https://africanarguments.org/2021/10/taking-industrial-policy-seriously-in-sudan/
B28003	https://africanarguments.org/2021/10/taking-industrial-policy-seriously-in-sudan/
B28004	https://africanarguments.org/2021/10/taking-industrial-policy-seriously-in-sudan/
B28005	https://africanarguments.org/2021/10/experiencing-covid-19-after-apartheid/
B28006	https://africanarguments.org/2021/10/experiencing-covid-19-after-apartheid/
B28007	https://africanarguments.org/2021/10/experiencing-covid-19-after-apartheid/
B28008	https://africanarguments.org/2021/10/experiencing-covid-19-after-apartheid/
B28009	https://africanarguments.org/2021/09/the-rise-and-rise-of-fascism-in-ethiopia/
B28010	https://africanarguments.org/2021/09/the-rise-and-rise-of-fascism-in-ethiopia/
B28011	https://africanarguments.org/2021/09/the-rise-and-rise-of-fascism-in-ethiopia/
B28012	https://africanarguments.org/2021/09/top-down-approaches-versus-community-driven-collective-action-to-managing-covid19-in-south-sudan/
B28013	https://africanarguments.org/2021/09/top-down-approaches-versus-community-driven-collective-action-to-managing-covid19-in-south-sudan/
B28014	https://africanarguments.org/2021/09/top-down-approaches-versus-community-driven-collective-action-to-managing-covid19-in-south-sudan/
B28015	https://africanarguments.org/2021/07/resolving-nigerias-population-productivity-insecurity-problem/
B28016	https://africanarguments.org/2021/07/kenyan-youth-and-the-building-bridges-initiative-bbi-deja-vu-all-over-again/
B28017	https://africanarguments.org/2021/07/kenyan-youth-and-the-building-bridges-initiative-bbi-deja-vu-all-over-again/
B28018	https://africanarguments.org/2021/06/30-years-after-eritrean-independence-youth-activist-vanessa-tsehaye-talks-to-georgia-cole/
B28019	https://africanarguments.org/2021/06/30-years-after-eritrean-independence-youth-activist-vanessa-tsehaye-talks-to-georgia-cole/
B28020	https://africanarguments.org/2021/05/idriss-deby-the-chadian-warrior-hero-of-mali/
B28021	https://africanarguments.org/2021/05/idriss-deby-the-chadian-warrior-hero-of-mali/
B28022	https://africanarguments.org/2021/04/idps-and-the-politics-of-labels-young-migrants-in-cameroons-anglophone-crisis/
B28023	https://africanarguments.org/2021/04/idps-and-the-politics-of-labels-young-migrants-in-cameroons-anglophone-crisis/
B28024	https://africanarguments.org/2021/04/idps-and-the-politics-of-labels-young-migrants-in-cameroons-anglophone-crisis/
B28025	https://africanarguments.org/2021/04/idps-and-the-politics-of-labels-young-migrants-in-cameroons-anglophone-crisis/
B28026	https://africanarguments.org/2021/04/idps-and-the-politics-of-labels-young-migrants-in-cameroons-anglophone-crisis/
B28027	https://africanarguments.org/2021/04/france-the-military-and-strongman-politics-in-chad/
B28028	https://africanarguments.org/2021/04/france-the-military-and-strongman-politics-in-chad/
B28029	https://africanarguments.org/2021/04/france-the-military-and-strongman-politics-in-chad/
B28030	https://africanarguments.org/2021/04/france-the-military-and-strongman-politics-in-chad/
B28031	https://africanarguments.org/2021/04/a-two-year-presidential-extension-in-somalia/
B28032	https://africanarguments.org/2021/04/a-two-year-presidential-extension-in-somalia/
B28033	https://africanarguments.org/2021/03/young-people-in-tanzania-shunned-the-election-completely-a-conversation-with-zitto-kabwe/
B28034	https://africanarguments.org/2021/03/change-will-come-from-us-a-conversation-with-quiteria-guirengane/
B28035	https://africanarguments.org/2021/03/change-will-come-from-us-a-conversation-with-quiteria-guirengane/
B28036	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28037	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28038	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28039	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28040	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28041	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28042	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28043	https://africanarguments.org/2021/03/democracy-means-building-and-connecting-people-as-well-as-institutions-lessons-from-sudan/
B28044	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28045	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28046	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28047	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28048	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28049	https://africanarguments.org/2021/03/an-age-of-agitation-african-politics-global-activism-and-the-question-of-youth/
B28050	https://africanarguments.org/2021/10/general-al-burhan-illegitimate-unpatriotic-untrustworthy-and-not-a-leader/
